Classifier,Before PCA,After PCA
k-NN,0.5930365992632444,0.5925171600455835
Logistic Regression,0.6131078896456682,0.6197850687726923
Gaussian Naive Bayes,0.5631357167466143,0.6378289560861845
Support Vector Machine,0.6439972967959081,0.6450229242307794
Decision Tree,0.5461625102695253,0.5204025653936872
Random Forest,0.6167254127686641,0.6228871279781624
Gradient Boosting,0.6265046511011582,0.6192894813558423
MLP Classifier,0.6218813770439667,0.6198049452733682
